"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"174",3,58,-0.1626,1.24415459395877,0.43,-0.1784,21.635548547423,5,0.02,0,0,0,0,1
"175",1,59,0.0554,1.07158361628019,0.48,0.1112,24.3039195634892,5,0.34,0.49,0.28,1,1,1
"176",2,59,0.0478,1.31640823365572,0.53,0.1564,24.3763108380511,5,0.06,0.08,0.06,1,1,1
"177",3,59,0.1362,1.0681530811834,0.49,0.1262,24.2422166241964,5,0.07,0.09,0.08,1,1,1
"178",1,60,0.0393,-0.287682072451781,0.33,0.0912,26.7811078383175,4,0,0,0,0,0,0
"179",2,60,0.0447,-0.462035459596559,0.33,0.1069,26.9072724497216,4,0,0,0,0,0,0
"180",3,60,0.041,-0.385662480811985,0.33,0.1021,26.9889205993454,4,0.06,0,0,0,0,0
"181",1,61,-0.0071,0.19062035960865,0.62,-0.5612,23.5654972195146,5,0.27,0.44,0.49,0,1,0
"182",2,61,-0.0136,0.488580014818671,0.65,-0.0169,23.5309200165941,5,0.07,0.09,0.1,1,1,1
"183",3,61,0.0192,0.667829372575655,0.6,-0.0161,23.5589467223522,5,0.07,0.09,0.12,1,1,1
"184",1,62,0.0927,0.536493370514568,0.27,0.0697,22.5796888195002,1,0,0,0,0,0,0
"185",2,62,0.0759,0.207014169384326,0.29,0.084,22.6572479865649,1,0,0,0,0,0,0
"186",3,62,0.0134,0.0861776962410524,0.2,0.079,22.7012282096764,1,0.09,0,0,0,0,0
"187",1,63,0.0518,-0.23572233352107,1.59,0.0544,24.0881449559345,4,0,0,0,0,0,0
"188",2,63,0.0263,0.157003748809665,1.05,0.1771,24.1137392552456,4,0,0,0,0,0,0
"189",3,63,0.0425,-0.127833371509885,0.78,0.2117,24.173253382778,4,0,0,0,0,0,0
"190",1,64,0.0216,0.343589704390077,1.75,0.1544,23.4616719982035,4,0,0,0,0,0,0
"191",2,64,0.0299,0.398776119957368,2.05,0.3473,23.7270779306625,4,0,0,0,0,0,0
"192",3,64,0.027,0.385262400790645,1.83,0.1807,23.7133203726086,4,0.08,0,0,0,0,0
"193",1,65,0.0036,-1.77195684193188,1.28,0.1042,28.2540998467746,4,0.26,0.14,0.1,1,1,1
"194",2,65,0.0091,-1.83258146374831,1.11,0.1721,28.2624960636192,4,0.04,0.03,0.01,1,1,1
"195",3,65,0.0077,-1.83258146374831,1.11,0.0865,28.2421607431026,4,0.06,0.03,0.02,1,1,1
"196",1,66,0.0747,0.22314355131421,0.24,0.1975,23.170643674842,7,0.49,0.58,0.34,1,1,1
"197",2,66,0.0698,0.182321556793955,0.23,0.2033,23.1894143138058,7,0.03,0.08,0.13,1,0,1
"198",3,66,0.0686,0.254642218373581,0.22,0.1971,23.1134038269483,7,0.03,0.09,0.07,1,0,1
"199",1,67,0.0152,-0.0202027073175195,0.64,0.0352,23.2505932026184,2,0.24,0.22,0.39,1,1,1
"200",2,67,-0.0138,0.2390169004705,1.69,0.0499,23.7577379388163,2,0.04,0.02,0,1,1,1
"201",3,67,-0.0441,0.431782416425538,1.67,0.017,23.6936803025161,2,0.04,0.02,0,1,1,1
"202",1,68,0.045,0,0.39,0.0099,23.9277181411489,5,0.7,0.82,0.65,1,0,1
"203",2,68,0.0433,-0.0618754037180875,0.62,0.0033,23.9425015970302,5,0.06,0,0.1,1,0,1
"204",3,68,0.0444,-0.3147107448397,0.5,0.0128,24.0282459608667,5,0.07,0.06,0.1,1,0,1
"205",1,69,0.0598,NA,0.37,0.0883,23.1354404905683,3,0,0,0,0,0,0
"206",2,69,0.0411,NA,0.44,0.0711,23.3799174749626,3,0,0,0,0,0,0
"207",3,69,NA,NA,0.62,0.0781,23.2798728008996,3,0.07,0,0,0,0,0
"208",1,70,0.0436,-0.162518929497775,1.58,0.0862,25.2158942279481,6,0.35,0.44,0.7,0,1,0
"209",2,70,0.0258,-0.3147107448397,1.28,0.0681,25.1646928149017,6,0.05,0.07,0.11,0,1,0
"210",3,70,-9e-04,-0.0512932943875506,1.66,0.067,25.1621570923073,6,0.04,0.05,0.06,0,1,0
"211",1,71,0.1476,NA,3.72,0.0284,22.7786121563128,4,0.72,0,0,0,1,1
"212",2,71,0.1741,NA,2.2,0.0746,22.668949388902,4,0.12,0,0,1,0,1
"213",3,71,0.1738,NA,1.0792,0.1226,22.7575929817891,4,0.13,0,0,1,0,1
"214",1,72,0.1173,0.322083499169113,0.58,0.1117,23.9991267272973,1,0,0,0,1,0,0
"215",2,72,0.0591,0.157003748809665,0.59,0.1229,23.9961373015756,1,0,0,0,1,0,0
"216",3,72,0.0525,0.300104592450338,0.93,0.2143,23.9043151762742,1,0.03,0,0,1,0,0
"217",1,73,0.0783,0.494696241836107,1.05,0.084,22.9756097135037,2,0.84,0.6,0.91,1,1,1
"218",2,73,0.078,0.657520002916794,1.63,0.0812,22.9771857579592,2,0.14,0.12,0.11,1,1,1
"219",3,73,0.043,0.0861776962410524,2.32,0.0802,22.8716502488632,2,0.13,0.11,0.12,1,1,1
"220",1,74,0.0166,0.582215619852664,3.72,0.0764,23.5013835585601,4,0,0,0,0,0,0
"221",2,74,0.0684,0.62057648772511,1.66,0.0261,23.7483096977208,4,0,0,0,0,0,0
"222",3,74,0.0145,0.641853886172395,1.76,0.0939,23.7745877722698,4,0.07,0,0,0,0,0
"223",1,75,0.031,0.173953307123438,0.3,0.0844,24.3909216546087,1,0.05,0.48,0.07,0,1,1
"224",2,75,0.0446,0.262364264467491,0.33,0.0697,24.4146421712589,1,0.01,0.06,0.01,1,1,1
"225",3,75,0.0711,0.27002713721306,0.3,0.0778,24.3982998842383,1,0.02,0,0,1,1,1
"226",1,76,0.07,0.165514438477573,1.69,0.0943,22.9204904142826,8,0,0,0,0,1,0
"227",2,76,0.0349,0.254642218373581,1.07,0.1691,22.9224884169453,8,0,0,0,0,1,0
"228",3,76,0.1062,0.405465108108164,0.93,0.0917,22.8975629096389,8,0.04,0,0,0,1,0
"230",2,77,0.0722,1.31908561142644,0.75,0.2233,23.3168923534487,5,0.02,0.11,0,1,0,1
"231",3,77,0.0725,1.22964055107451,0.96,0.2607,23.5762875752949,5,0.02,0.15,0,1,0,1
"232",1,78,0.1218,NA,0.05,0.149,22.0328054956409,5,0,0,0,0,0,0
"233",2,78,0.1069,NA,0.04,0.1369,22.1337648867631,5,0,0,0,0,0,0
"234",3,78,0.1137,NA,0.02,0.1544,22.2342085026314,5,0,0,0,0,0,0
"235",1,79,0.1263,0.364643113587909,0.27,0.3029,23.042403182448,8,0.1,0,0,0,0,0
"236",2,79,0.0581,0.173953307123438,0.61,0.2675,23.0914513870244,8,0,0,0,0,0,0
