"";"Companies";"Year";"Ticker";"Date";"Ra";"Beta";"AlphaJensen";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"124";14;2012;"ADSK";2012-12-01;0,0648590892695667;1,96905448763238;0,0415242463155047;-0,04;1,89;-0,14;0,63;0,94;0,3;0,62;0;0;1;9,54;1,05;0,13;7
"125";14;2013;"ADSK";2013-12-01;0,10619994224625;1,96905448763238;0,0508695111437802;0,01;1,88;0,05;0,1;0,14;0;0,03;1;1;1;9,64;0,86;0,05;7
"126";14;2014;"ADSK";2014-12-01;-0,0317903058398908;1,96905448763238;-0,0306088731473114;0,03;2,65;0,09;0,14;0,14;0;0,05;1;1;1;9,68;0,93;0,1;7
"127";140;2012;"EQT";2012-12-01;-0,0181458242499792;0,96843135715452;-0,0296733142644025;0,02;1,25;0,05;0,03;0;0,3;0;0;1;0;9,95;0,69;0,11;3
"128";140;2013;"EQT";2013-12-01;0,0534174897563131;0,96843135715452;0,0262045686202711;0,05;1,59;0,1;0;0,02;0,03;0;0;1;0;9,99;0,62;0,21;3
"129";140;2014;"EQT";2014-12-01;-0,183861908655915;0,96843135715452;-0,183280849841622;0,05;1,1;0,09;0;0,03;0;0;0;1;0;10,08;0,62;0,16;3
"130";141;2012;"ESRX";2012-12-01;0,00278168010208185;0,722067169725828;-0,00583871250068293;0,03;1,06;0,07;0;0;0;0;0;0;0;10,76;0,64;0,01;5
"131";141;2013;"ESRX";2013-12-01;0,0420150476923041;0,722067169725828;0,0217249602230083;0,03;1,33;0,08;0;0;0;0;1;0;0;10,73;0,57;0,02;5
"132";141;2014;"ESRX";2014-12-01;0,0181150943412155;0,722067169725828;0,018548334643051;0,04;1,47;0,1;0;0;0;0;1;0;0;10,73;0,55;0,02;5
"133";142;2012;"ETP";2012-12-01;-0,0216815276570409;-0,0980202520347461;-0,0206248886830309;0,04;0,62;0,15;0;0;0;0;0;0;0;10,64;1,68;0,07;3
"134";142;2013;"ETP";2013-12-01;0,064291493449656;-0,0980202520347461;0,0670458625318324;0;0,85;-0,01;0;0;0;0;0;0;0;10,64;1,43;0;3
"135";142;2014;"ETP";2014-12-01;-0,141695719131756;-0,0980202520347461;-0,141754531282977;0,01;0,8;0,05;0;0;0;0;0;0;0;10,8;1,52;0,01;3
"136";143;2012;"ETR";2012-12-01;0,00329948847313037;0,456105646916132;-0,00218255816047998;0,02;0,55;0,09;0,55;0,21;0,03;0;0;1;1;10,64;1,3;0,08;11
"137";143;2013;"ETR";2013-12-01;0,0220524809396154;0,456105646916132;0,00923591226127208;0,02;0,54;0,08;0;0,04;0;0;1;1;1;10,64;1,26;0,06;11
"138";143;2014;"ETR";2014-12-01;0,0417843932953388;0,456105646916132;0,0420580566834884;0,02;0,59;0,09;0;0,07;0;0;1;1;1;10,67;1,25;0,08;11
"139";144;2012;"EXC";2012-12-01;-0,0160108311263929;0,7418516934673;-0,024864681109307;0,02;0,53;0,05;0,12;0,41;0,05;0,72;1;1;1;10,9;0,9;0,05;11
