"";"Date";"Ticker";"AdjClose";"Volume";"CompoundedReturn";"Mkt.RF";"SMB";"HML";"RF";"Rm"
"245";2011-12-01;"MRO";25,652756;136991400;NA;0,74;-0,71;1,74;0;0,74
"246";2011-12-01;"MS";13,72277;646755700;NA;0,74;-0,71;1,74;0;0,74
"247";2011-12-01;"MSFT";22,002237;1007166600;NA;0,74;-0,71;1,74;0;0,74
"248";2011-12-01;"MSI";40,451969;45159400;NA;0,74;-0,71;1,74;0;0,74
"249";2011-12-01;"MTB";65,711723;17629700;NA;0,74;-0,71;1,74;0;0,74
"250";2011-12-01;"MU";6,29;543903200;NA;0,74;-0,71;1,74;0;0,74
"251";2011-12-01;"MXIM";21,234444;44690800;NA;0,74;-0,71;1,74;0;0,74
"252";2011-12-01;"MYL";21,459999;117293900;NA;0,74;-0,71;1,74;0;0,74
"253";2011-12-01;"NBL";43,1586;52115800;NA;0,74;-0,71;1,74;0;0,74
"254";2011-12-01;"NEE";50,085789;42779000;NA;0,74;-0,71;1,74;0;0,74
"255";2011-12-01;"NEM";54,318741;118248600;NA;0,74;-0,71;1,74;0;0,74
"256";2011-12-01;"NFLX";9,898571;842035600;NA;0,74;-0,71;1,74;0;0,74
"257";2011-12-01;"NKE";20,227428;221889600;NA;0,74;-0,71;1,74;0;0,74
"258";2011-12-01;"NLSN";25,701036;12540200;NA;0,74;-0,71;1,74;0;0,74
"259";2011-12-01;"NLY";7,525913;238098300;NA;0,74;-0,71;1,74;0;0,74
"260";2011-12-01;"NOC";51,041771;36926800;NA;0,74;-0,71;1,74;0;0,74
"261";2011-12-01;"NOV";54,836246;85240800;NA;0,74;-0,71;1,74;0;0,74
"262";2011-12-01;"NOW";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"263";2011-12-01;"NSC";61,961353;47327900;NA;0,74;-0,71;1,74;0;0,74
"264";2011-12-01;"NTRS";34,565178;40412200;NA;0,74;-0,71;1,74;0;0,74
"265";2011-12-01;"NUE";32,329548;74697800;NA;0,74;-0,71;1,74;0;0,74
"266";2011-12-01;"NVDA";12,842594;243558500;NA;0,74;-0,71;1,74;0;0,74
"267";2011-12-01;"NWL";14,183849;44992500;NA;0,74;-0,71;1,74;0;0,74
"268";2011-12-01;"FISV";14,685;69462800;NA;0,74;-0,71;1,74;0;0,74
"269";2011-12-01;"FITB";10,822804;230126800;NA;0,74;-0,71;1,74;0;0,74
"270";2011-12-01;"FLT";29,870001;4983400;NA;0,74;-0,71;1,74;0;0,74
"271";2011-12-01;"FNMA";0,2;89203700;NA;0,74;-0,71;1,74;0;0,74
"272";2011-12-01;"FOX";15,067537;70407800;NA;0,74;-0,71;1,74;0;0,74
"273";2011-12-01;"GD";57,311028;30098900;NA;0,74;-0,71;1,74;0;0,74
"274";2011-12-01;"GE";14,385256;1509282300;NA;0,74;-0,71;1,74;0;0,74
"275";2011-12-01;"GGP";12,003488;98179700;NA;0,74;-0,71;1,74;0;0,74
"276";2011-12-01;"GILD";19,071707;346359200;NA;0,74;-0,71;1,74;0;0,74
"277";2011-12-01;"GIS";32,826469;74874000;NA;0,74;-0,71;1,74;0;0,74
"278";2011-12-01;"GLW";11,179398;384634000;NA;0,74;-0,71;1,74;0;0,74
"279";2011-12-01;"GM";17,027336;206055300;NA;0,74;-0,71;1,74;0;0,74
"280";2011-12-01;"GPC";50,84367;16838400;NA;0,74;-0,71;1,74;0;0,74
"281";2011-12-01;"GPS";15,60837;77296800;NA;0,74;-0,71;1,74;0;0,74
"282";2011-12-01;"GS";82,944138;158615200;NA;0,74;-0,71;1,74;0;0,74
"283";2011-12-01;"GWW";166,053452;7838600;NA;0,74;-0,71;1,74;0;0,74
"284";2011-12-01;"HAL";31,576351;381350800;NA;0,74;-0,71;1,74;0;0,74
"285";2011-12-01;"HCA";17,59462;56559900;NA;0,74;-0,71;1,74;0;0,74
"286";2011-12-01;"HCP";26,509966;55468500;NA;0,74;-0,71;1,74;0;0,74
"287";2011-12-01;"HD";36,802906;230611500;NA;0,74;-0,71;1,74;0;0,74
"288";2011-12-01;"HES";51,706951;59347500;NA;0,74;-0,71;1,74;0;0,74
"289";2011-12-01;"HIG";14,478299;149491300;NA;0,74;-0,71;1,74;0;0,74
"290";2011-12-01;"HOG";33,937244;35265900;NA;0,74;-0,71;1,74;0;0,74
"291";2011-12-01;"HON";47,226265;79631900;NA;0,74;-0,71;1,74;0;0,74
"292";2011-12-01;"HOT";0,108;52851200;NA;0,74;-0,71;1,74;0;0,74
"293";2011-12-01;"HRL";11,988431;48338000;NA;0,74;-0,71;1,74;0;0,74
"294";2011-12-01;"HSIC";32,215;15290200;NA;0,74;-0,71;1,74;0;0,74
"295";2011-12-01;"HST";11,728261;130761800;NA;0,74;-0,71;1,74;0;0,74
"296";2011-12-01;"HSY";53,562943;21230100;NA;0,74;-0,71;1,74;0;0,74
"297";2011-12-01;"HUM";82,5895;25190700;NA;0,74;-0,71;1,74;0;0,74
"298";2011-12-01;"IBM";154,007004;103436500;NA;0,74;-0,71;1,74;0;0,74
