Ticker;Variable;2012;2013;2014;2015;2016
BEN;adjclose;37.323.315;53.720.745;519.715;34.996.201;38.403.873
BEN;volume;39876300;45517900;37648200;91893800;52007800
BG;open;73.160.004;80.440.002;90.449.997;67;68
BG;high;74;84.18;93.169.998;69.18;74
BG;low;71.239.998;79.139.999;88.720.001;61.549.999;67.910.004
BG;close;72.690.002;82.110.001;90.910.004;68.279.999;72.239.998
BG;adjclose;64.776.299;74.275.963;83.873.672;64.405.319;70.002.754
BG;volume;14358500;14759100;21379200;25706500;18249200
BIIB;open;150.039.993;291.709.991;306.429.993;289.299.988;296.320.007
BIIB;high;155.300.003;298.820.007;361.929.993;311.649.994;306.980.011
BIIB;low;145.039.993;270.269.989;306.109.985;274.230.011;272.959.991
BIIB;close;146.369.995;279.570.007;339.450.012;306.350.006;287.769.989
BIIB;adjclose;146.369.995;279.570.007;339.450.012;306.350.006;287.769.989
BIIB;volume;17674000;23680600;44112900;33025200;52475300
BK;open;24.07;33.790.001;39.950.001;44.049.999;47.669.998
BK;high;26.25;34.990.002;41.790.001;44.27;49.540.001
BK;low;23.26;32.740.002;39.290.001;40.02;46.970.001
BK;close;25.700.001;34.939.999;40.57;41.220.001;47.380.001
BK;adjclose;23.379.799;32.418.343;38.351.429;39.613.995;4.636.792
BK;volume;125876700;76651200;97837200;148339400;121666800
BKE;open;50.209.942;5.198.711;50.84;31.84;25.1
BKE;high;5.033.688;52.309.345;54.130.001;32.610.001;27.1
BKE;low;40.523.388;48.452.301;48.540.001;29.4;22.129.999
BKE;close;43.589.493;51.323.112;52.52;30.780.001;22.799.999
BKE;adjclose;36.731.987;43.948.772;45.835.579;2.740.991;21.103.489
BKE;volume;8064500;5432700;5705000;9697900;10045000
BLK;open;198.130.005;302.5;356.720.001;362.940.002;373.809.998
BLK;high;209.910.004;323;368.640.015;364.809.998;399.459.991
BLK;low;190.240.005;291.670.013;334.600.006;314.619.995;369.399.994
BLK;close;206.710.007;316.470.001;357.559.998;340.519.989;380.540.009
BLK;adjclose;181.829.956;285.504.272;328.542.694;320.607.635;367.524.719
BLK;volume;12960500;12110500;11055900;17650600;15647000
