"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"7417","DE",2011-12-01,2011,-0.0190262019566879,0,0.0074,-0.0190262019566879,0.0074,1.2756012325542,-0.028465651077589
"7439","DE",2012-12-01,2012,0.0331382453162706,1e-04,0.0119,0.0330382453162706,0.0118,1.2756012325542,0.017986150772131
"7447","DE",2013-12-01,2013,0.0864223592867708,0,0.0281,0.0864223592867708,0.0281,1.2756012325542,0.0505779646519978
"7454","DE",2014-12-01,2014,0.0278039084905666,0,-6e-04,0.0278039084905666,-6e-04,1.2756012325542,0.0285692692300992
"7472","DE",2015-12-01,2015,-0.0346324754654299,1e-04,-0.0216,-0.0347324754654299,-0.0217,1.2756012325542,-0.00705192871900373
"7486","DE",2016-12-01,2016,0.0337405534505472,3e-04,0.0185,0.0334405534505472,0.0182,1.2756012325542,0.0102246110180607
"7498","DFS",2011-12-01,2011,0.0116198267647569,0,0.0074,0.0116198267647569,0.0074,1.09590731150309,0.00351011265963401
"7509","DFS",2012-12-01,2012,-0.0726923383334829,1e-04,0.0119,-0.0727923383334829,0.0118,1.09590731150309,-0.0857240446092194
"7520","DFS",2013-12-01,2013,0.0485220509310787,0,0.0281,0.0485220509310787,0.0281,1.09590731150309,0.0177270554778419
"7533","DFS",2014-12-01,2014,-0.000915585212923456,0,-6e-04,-0.000915585212923456,-6e-04,1.09590731150309,-0.000258040826021602
"7543","DFS",2015-12-01,2015,-0.0569097887622195,1e-04,-0.0216,-0.0570097887622195,-0.0217,1.09590731150309,-0.0332286001026024
"7552","DFS",2016-12-01,2016,0.06179556894212,3e-04,0.0185,0.06149556894212,0.0182,1.09590731150309,0.0415500558727638
"7569","DG",2011-12-01,2011,0.013952127561591,0,0.0074,0.013952127561591,0.0074,0.306060818619354,0.0116872775038077
"7582","DG",2012-12-01,2012,-0.125790080801957,1e-04,0.0119,-0.125890080801957,0.0118,0.306060818619354,-0.129501598461666
"7586","DG",2013-12-01,2013,0.0576656970515739,0,0.0281,0.0576656970515739,0.0281,0.306060818619354,0.0490653880483701
"7607","DG",2014-12-01,2014,0.0576410965811408,0,-6e-04,0.0576410965811408,-6e-04,0.306060818619354,0.0578247330723124
"7609","DG",2015-12-01,2015,0.0972636540935893,1e-04,-0.0216,0.0971636540935893,-0.0217,0.306060818619354,0.103805173857629
"7632","DG",2016-12-01,2016,-0.0396941777299327,3e-04,0.0185,-0.0399941777299327,0.0182,0.306060818619354,-0.045564484628805
"7634","DGX",2011-12-01,2011,-0.0102807319157811,0,0.0074,-0.0102807319157811,0.0074,1.00189467192185,-0.0176947524880028
"7645","DGX",2012-12-01,2012,0.00844474803166438,1e-04,0.0119,0.00834474803166439,0.0118,1.00189467192185,-0.0034776090970134
"7667","DGX",2013-12-01,2013,-0.129460700179702,0,0.0281,-0.129460700179702,0.0281,1.00189467192185,-0.157613940460706
"7675","DGX",2014-12-01,2014,0.0264426198815875,0,-6e-04,0.0264426198815875,-6e-04,1.00189467192185,0.0270437566847406
"7684","DGX",2015-12-01,2015,0.0404472247700959,1e-04,-0.0216,0.0403472247700959,-0.0217,1.00189467192185,0.0620883391507999
"7693","DGX",2016-12-01,2016,0.0495195411397341,3e-04,0.0185,0.0492195411397341,0.0182,1.00189467192185,0.0309850581107565
"7714","DHR",2011-12-01,2011,-0.0273964627204611,0,0.0074,-0.0273964627204611,0.0074,1.06923732636221,-0.0353088189355415
"7717","DHR",2012-12-01,2012,0.0357524054570828,1e-04,0.0119,0.0356524054570828,0.0118,1.06923732636221,0.0230354050060086
"7739","DHR",2013-12-01,2013,0.0320112376781579,0,0.0281,0.0320112376781579,0.0281,1.06923732636221,0.00196566880737973
"7749","DHR",2014-12-01,2014,0.0269208817998344,0,-6e-04,0.0269208817998344,-6e-04,1.06923732636221,0.0275624241956518
"7755","DHR",2015-12-01,2015,-0.0352004993537122,1e-04,-0.0216,-0.0353004993537122,-0.0217,1.06923732636221,-0.0120980493716522
"7770","DHR",2016-12-01,2016,-0.0026433835632217,3e-04,0.0185,-0.0029433835632217,0.0182,1.06923732636221,-0.022403502903014
"7786","DIS",2011-12-01,2011,0.0616506977943218,0,0.0074,0.0616506977943218,0.0074,0.986166858190425,0.0543530630437127
"7796","DIS",2012-12-01,2012,0.0178539021919284,1e-04,0.0119,0.0177539021919284,0.0118,0.986166858190425,0.00611713326528136
"7806","DIS",2013-12-01,2013,0.0920729175347932,0,0.0281,0.0920729175347932,0.0281,0.986166858190425,0.0643616288196422
"7823","DIS",2014-12-01,2014,0.0306271014447055,0,-6e-04,0.0306271014447055,-6e-04,0.986166858190425,0.0312188015596198
"7827","DIS",2015-12-01,2015,-0.070426757132573,1e-04,-0.0216,-0.070526757132573,-0.0217,0.986166858190425,-0.0491269363098408
