Date;RF;Mkt-RF;SMB;HML
01-11-57;    0.28;    2.30;    0.40;   -2.90
01-12-57;    0.24;   -3.91;   -0.93;   -1.71
01-01-58;    0.28;    4.66;    4.36;    4.23
01-02-58;    0.12;   -1.52;    0.70;    0.28
01-03-58;    0.09;    3.27;    0.63;   -0.92
01-04-58;    0.08;    3.09;   -0.59;    1.46
01-05-58;    0.11;    2.31;    2.24;   -0.35
01-06-58;    0.03;    2.93;   -0.24;    0.50
01-07-58;    0.07;    4.39;    0.47;    3.12
01-08-58;    0.04;    1.91;    1.19;    0.29
01-09-58;    0.19;    4.66;    0.15;    2.96
01-10-58;    0.18;    2.53;    1.13;   -1.18
01-11-58;    0.11;    3.01;    2.06;   -1.29
01-12-58;    0.22;    5.15;   -2.07;   -0.05
01-01-59;    0.21;    0.71;    3.02;    2.98
01-02-59;    0.19;    0.95;    1.49;    1.05
01-03-59;    0.22;    0.28;    1.48;   -0.35
01-04-59;    0.20;    3.66;   -0.58;   -1.22
01-05-59;    0.22;    1.73;   -2.15;    1.87
01-06-59;    0.25;   -0.25;    0.68;    1.33
01-07-59;    0.25;    3.17;   -0.32;    0.26
01-08-59;    0.19;   -1.39;   -0.78;    0.44
01-09-59;    0.31;   -4.80;   -0.09;    0.57
01-10-59;    0.30;    1.28;    1.43;   -2.05
01-11-59;    0.26;    1.60;    1.24;   -3.27
01-12-59;    0.34;    2.45;   -0.60;   -0.03
01-01-60;    0.33;   -6.98;    2.09;    2.73
01-02-60;    0.29;    1.17;    0.51;   -1.99
01-03-60;    0.35;   -1.63;   -0.51;   -2.85
01-04-60;    0.19;   -1.71;    0.31;   -2.23
01-05-60;    0.27;    3.12;    1.21;   -3.76
01-06-60;    0.24;    2.08;   -0.22;   -0.34
01-07-60;    0.13;   -2.37;   -0.52;    2.03
01-08-60;    0.17;    3.01;    0.90;   -0.19
01-09-60;    0.16;   -5.99;   -1.12;    1.58
01-10-60;    0.22;   -0.71;   -3.97;    2.60
01-11-60;    0.13;    4.69;    0.34;   -2.45
01-12-60;    0.16;    4.71;   -1.56;   -0.79
01-01-61;    0.19;    6.20;    0.65;    3.70
01-02-61;    0.14;    3.57;    3.97;   -0.74
01-03-61;    0.20;    2.89;    3.23;   -0.77
01-04-61;    0.17;    0.29;    0.13;    2.05
01-05-61;    0.18;    2.40;    1.95;    0.48
01-06-61;    0.20;   -3.08;   -2.48;   -0.18
01-07-61;    0.18;    2.83;   -1.88;   -0.15
01-08-61;    0.14;    2.57;   -1.81;   -0.20
01-09-61;    0.17;   -2.15;   -1.13;   -0.47
01-10-61;    0.19;    2.57;   -1.96;    0.59
01-11-61;    0.15;    4.45;    1.03;   -0.88
01-12-61;    0.19;   -0.18;   -1.12;    2.21
01-01-62;    0.24;   -3.87;    1.86;    4.98
01-02-62;    0.20;    1.81;   -1.18;    0.89
01-03-62;    0.20;   -0.68;    0.23;   -1.00
01-04-62;    0.22;   -6.59;   -0.99;    0.48
