"";"Ticker";"Year";"Close";"Volume"
"1028";"LMT";"2014";192,57;26296900
"1029";"LMT";"2015";217,15;27197500
"1030";"LMT";"2016";249,94;34673900
"1031";"LNC";"2012";25,9;49627600
"1032";"LNC";"2013";51,62;39608900
"1033";"LNC";"2014";57,67;40818100
"1034";"LNC";"2015";50,26;40951100
"1035";"LNC";"2016";66,27;32893700
"1036";"LNG";"2012";18,78;95234700
"1037";"LNG";"2013";43,12;85484800
"1038";"LNG";"2014";70,4;85428500
"1039";"LNG";"2015";37,25;90066500
"1040";"LNG";"2016";41,43;48404200
"1041";"LOW";"2012";35,52;203661300
"1042";"LOW";"2013";49,55;121741000
"1043";"LOW";"2014";68,8;111638700
"1044";"LOW";"2015";76,04;84455400
"1045";"LOW";"2016";74,69;133965600
"1046";"LRCX";"2012";36,13;50785300
"1047";"LRCX";"2013";54,45;30065100
"1048";"LRCX";"2014";79,34;39432500
"1049";"LRCX";"2015";79,42;41934900
"1050";"LRCX";"2016";105,73;40058500
"1051";"LTRPA";"2012";NA;NA
"1052";"LTRPA";"2013";NA;NA
"1053";"LTRPA";"2014";26,9;14553600
"1054";"LTRPA";"2015";30,34;9829100
"1055";"LTRPA";"2016";16,35;14571800
"1056";"LUV";"2012";10,24;134684300
"1057";"LUV";"2013";18,84;122877900
"1058";"LUV";"2014";42,32;194291500
"1059";"LUV";"2015";43,06;138821000
"1060";"LUV";"2016";49,84;104357100
"1061";"LVS";"2012";46,16;126906800
"1062";"LVS";"2013";78,87;83361600
"1063";"LVS";"2014";58,16;140884500
"1064";"LVS";"2015";43,84;104411700
"1065";"LVS";"2016";53,41;130762200
"1066";"LYB";"2012";57,09;91748000
"1067";"LYB";"2013";80,28;59512700
"1068";"LYB";"2014";79,39;140000700
"1069";"LYB";"2015";86,9;77121600
"1070";"LYB";"2016";85,78;58441100
"1071";"M";"2012";39,02;106166100
"1072";"M";"2013";53,4;77204300
"1073";"M";"2014";65,75;90649800
"1074";"M";"2015";34,98;178734600
"1075";"M";"2016";35,81;115641400
"1076";"MA";"2012";49,13;131857000
"1077";"MA";"2013";83,55;161933000
"1078";"MA";"2014";86,16;92817400
"1079";"MA";"2015";97,36;76528700
"1080";"MA";"2016";103,25;73599000
"1081";"MAC";"2012";58,3;14480600
"1082";"MAC";"2013";58,89;20438700
"1083";"MAC";"2014";83,41;23686100
"1084";"MAC";"2015";80,69;23932700
"1085";"MAC";"2016";70,84;17758100
"1086";"MAR";"2012";37,27;40101500
"1087";"MAR";"2013";49,35;39283800
"1088";"MAR";"2014";78,03;40177100
"1089";"MAR";"2015";67,04;59359400
"1090";"MAR";"2016";82,68;62991500
"1091";"MAS";"2012";14,64;85590400
"1092";"MAS";"2013";20,01;80552700
"1093";"MAS";"2014";22,14;93078300
"1094";"MAS";"2015";28,3;72077700
"1095";"MAS";"2016";31,62;65901100
"1096";"MAT";"2012";36,62;39444500
"1097";"MAT";"2013";47,58;42057000
"1098";"MAT";"2014";30,95;108470200
"1099";"MAT";"2015";27,17;137425400
"1100";"MAT";"2016";27,55;86772800
"1101";"MCD";"2012";88,21;114044000
"1102";"MCD";"2013";97,03;90582200
"1103";"MCD";"2014";93,7;171258800
"1104";"MCD";"2015";118,14;115015200
"1105";"MCD";"2016";121,72;78403000
"1106";"MCHP";"2012";32,59;41275700
"1107";"MCHP";"2013";44,75;46701100
"1108";"MCHP";"2014";45,11;40750300
"1109";"MCHP";"2015";46,54;44032200
"1110";"MCHP";"2016";64,15;40917100
"1111";"MCK";"2012";96,96;23103000
"1112";"MCK";"2013";161,4;26988900
"1113";"MCK";"2014";207,58;18873400
"1114";"MCK";"2015";197,23;33393800
"1115";"MCK";"2016";146,25;44196900
"1116";"MCO";"2012";50,32;32747200
"1117";"MCO";"2013";78,47;16248500
"1118";"MCO";"2014";95,81;26428600
"1119";"MCO";"2015";100,34;25020300
"1120";"MCO";"2016";94,27;20330200
"1121";"MDLZ";"2012";25,45;220528400
"1122";"MDLZ";"2013";35,3;169922900
"1123";"MDLZ";"2014";36,33;169975300
"1124";"MDLZ";"2015";44,84;182797100
"1125";"MDLZ";"2016";44,33;188140100
"1126";"MET";"2012";29,36;262077600
"1127";"MET";"2013";48,06;131691900
"1128";"MET";"2014";48,21;152168600
"1129";"MET";"2015";42,97;149822400
"1130";"MET";"2016";48,03;118278500
"1131";"MGLN";"2012";49;4925300
"1132";"MGLN";"2013";59,91;3612700
"1133";"MGLN";"2014";60,03;3399300
"1134";"MGLN";"2015";61,66;4435900
