Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
58;2012;-0,08;3,79;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,20;0,32;-0,23;5
58;2013;-0,09;4,36;2015;322,00;0,22;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,05;9,35;0,49;-0,32;5
58;2014;-0,06;5,24;2016;306,00;0,24;0,00;0,02;0,00;0,00;0,17;0,00;0,00;0,05;9,39;0,43;-0,18;5
59;2012;0,06;1,63;2014;88,00;0,49;0,18;0,34;0,49;0,28;0,46;0,10;0,05;0,05;10,56;0,48;0,11;5
59;2013;0,07;2,30;2015;98,00;0,54;0,02;0,06;0,08;0,06;0,14;0,10;0,05;0,05;10,59;0,63;0,16;5
59;2014;0,06;2,92;2016;67,00;0,60;0,02;0,07;0,09;0,08;0,14;0,10;0,05;0,05;10,53;0,49;0,13;5
60;2012;0,04;0,58;2014;431,00;0,02;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;11,63;0,02;0,09;4
60;2013;0,04;0,69;2015;412,00;0,12;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;11,69;0,02;0,11;4
60;2014;0,04;0,75;2016;388,00;0,18;0,00;0,06;0,00;0,00;0,12;0,00;0,00;0,00;11,72;0,01;0,10;4
61;2012;-0,22;0,63;2014;244,00;0,29;0,00;0,27;0,44;0,49;0,31;0,00;0,05;0,00;10,23;0,62;-0,56;5
61;2013;-0,01;1,14;2015;29,00;0,67;0,06;0,07;0,09;0,10;0,15;0,10;0,05;0,05;10,22;0,65;-0,02;5
61;2014;-0,01;1,21;2016;21,00;0,72;0,08;0,07;0,09;0,12;0,15;0,10;0,05;0,05;10,23;0,60;-0,02;5
62;2012;0,08;1,29;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,81;0,27;0,07;1
62;2013;0,09;1,82;2015;468,00;0,07;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;9,84;0,29;0,08;1
62;2014;0,09;1,71;2016;422,00;0,16;0,00;0,09;0,00;0,00;0,07;0,00;0,00;0,00;9,86;0,20;0,08;1
63;2012;0,01;0,31;2014;380,00;0,12;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;10,46;1,59;0,05;4
63;2013;0,04;0,84;2015;458,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,47;1,05;0,18;4
63;2014;0,05;0,79;2016;473,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;10,50;0,78;0,21;4
64;2012;0,02;1,50;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,19;1,75;0,15;4
