Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
48;2013;5;12035000000,00;0,74;0,11;0,08;0,19;1,77;0,10;0,14;0,06;0,31;0,38;0,00;0,00;0,00
49;2013;4;15909300000,00;0,23;0,27;0,15;0,22;1,83;0,65;0,48;0,00;0,00;0,78;0,00;0,00;0,00
49;2014;4;16296800000,00;0,19;0,28;0,14;0,21;1,57;0,00;0,08;0,00;0,00;0,10;0,10;0,00;0,00
49;2015;4;16155500000,00;0,18;0,25;0,12;0,16;0,78;0,00;0,09;0,00;0,00;0,10;0,10;0,00;0,00
50;2015;2;4319000000,00;0,88;0,17;0,16;0,39;5,35;0,09;0,10;0,14;0,00;0,10;0,10;0,05;0,05
50;2013;2;3882000000,00;0,54;0,16;0,16;0,37;3,83;0,31;0,60;0,44;0,00;0,91;0,10;0,05;0,05
50;2014;2;4243000000,00;0,48;0,17;0,16;0,33;4,43;0,06;0,09;0,13;0,00;0,10;0,10;0,05;0,05
51;2013;2;26780000000,00;0,92;0,00;0,01;0,02;0,40;0,21;0,36;0,41;0,47;0,22;0,00;0,00;0,00
51;2015;2;17910000000,00;0,51;0,02;0,04;0,11;0,55;0,03;0,07;0,07;0,05;0,10;0,00;0,05;0,00
51;2014;2;21430000000,00;0,37;0,01;0,02;0,06;0,58;0,05;0,07;0,05;0,06;0,10;0,00;0,05;0,00
52;2015;3;24080000000,00;0,24;-0,02;-0,08;-0,11;;0,10;0,09;0,06;0,02;0,03;0,10;0,05;0,05
52;2013;3;27934000000,00;0,22;0,05;0,04;0,06;;0,75;0,75;0,61;0,14;0,85;0,10;0,05;0,05
52;2014;3;28827000000,00;0,21;0,07;0,06;0,09;;0,07;0,10;0,00;0,00;0,02;0,10;0,05;0,05
53;2015;5;19504800000,00;0,70;0,33;0,20;0,32;3,29;0,13;0,14;0,11;0,14;0,17;0,00;0,05;0,05
53;2013;5;11863335000,00;0,13;0,27;0,17;0,23;5,06;0,69;0,83;0,85;0,97;0,53;0,10;0,00;0,05
53;2014;5;14316559000,00;0,05;0,30;0,22;0,29;5,00;0,14;0,14;0,13;0,11;0,17;0,10;0,05;0,05
54;2015;4;393780000000,00;0,62;0,20;0,01;0,09;-0,10;0,02;0,02;0,05;0,03;0,10;0,10;0,05;0,05
54;2014;4;385303000000,00;0,59;0,16;0,01;0,07;-0,07;0,01;0,02;0,05;0,06;0,10;0,10;0,05;0,05
54;2013;4;374310000000,00;0,57;0,14;0,01;0,06;-0,17;0,15;0,26;0,41;0,40;0,72;0,10;0,05;0,05
55;2013;3;545783000,00;0,00;0,14;0,28;0,40;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
55;2014;3;617653000,00;0,00;0,13;0,27;0,40;;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
55;2015;3;589893000,00;0,00;0,14;0,28;0,39;;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00
56;2013;4;219873000000,00;0,19;0,29;0,01;0,11;0,26;0,75;0,71;0,00;0,00;0,29;0,10;0,00;0,00
56;2014;4;239808000000,00;0,18;0,30;0,01;0,12;0,26;0,00;0,09;0,00;0,00;0,10;0,10;0,00;0,00
56;2015;4;225261000000,00;0,17;0,29;0,01;0,12;0,25;0,11;0,09;0,00;0,00;0,10;0,10;0,00;0,05
57;2015;8;9777000000,00;4,04;0,04;0,04;0,26;1,57;0,09;0,08;0,11;0,13;0,09;0,10;0,05;0,05
57;2014;8;7571000000,00;2,90;0,05;0,06;0,41;1,59;0,07;0,05;0,08;0,09;0,09;0,10;0,05;0,05
57;2013;8;7819800000,00;2,65;0,05;0,06;0,37;1,28;0,70;0,75;0,76;0,83;0,89;0,10;0,05;0,05
58;2013;5;2244000000,00;0,49;-0,32;-0,09;-0,15;4,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
58;2014;5;2475000000,00;0,43;-0,18;-0,06;-0,09;5,24;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,05
58;2015;5;3729000000,00;0,28;-0,19;-0,06;-0,09;4,54;0,00;0,02;0,00;0,00;0,17;0,00;0,00;0,05
59;2013;5;38592000000,00;0,63;0,16;0,07;0,18;2,30;0,18;0,34;0,49;0,28;0,46;0,10;0,05;0,05
