"";"Companies";"Year";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Ticker";"GisSector";"GicsClassification";"FichierSTCKP";"CompanyGR2014";"CompanyGR2015";"CompanyGR2016";"X";"Date"
"93";16;2015;0,04;0,8;0,15;0;0,01;0,02;0;1;1;0;10,79;0,49;0,04;11;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1062;"2015-12-01"
"94";16;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AEP";"Utilities";11;"AEP_quarterly_financial_data.xls";"american electric power";"american electric power company inc";"american electric power co inc";1075;"2016-12-01"
"95";17;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1089;"2011-12-01"
"96";17;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1101;"2012-12-01"
"97";17;2013;0,03;0,71;0,22;0,65;0,74;0;0;0;1;0;10,7;0,56;0,13;5;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1115;"2013-12-01"
"98";17;2014;0,02;0,8;0,17;0;0,08;0;0;0;1;1;10,73;0,54;0,13;5;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1128;"2014-12-01"
"99";17;2015;0,02;0,91;0,14;0,13;0,12;0,11;0;0;1;1;10,73;0,49;0,12;5;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1136;"2015-12-01"
"100";17;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AET";"Health Care";5;"AET_quarterly_financial_data.xls";"aetna";"aetna inc";"aetna inc";1149;"2016-12-01"
"101";18;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1163;"2011-12-01"
"102";18;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1165;"2012-12-01"
"103";18;2013;0,03;0,34;0,21;0,85;0,63;0;0;0;1;1;11,08;0,34;0,13;4;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1180;"2013-12-01"
"104";18;2014;0,02;0,29;0,18;0,09;0,09;0,09;0,12;1;1;1;11,08;0,29;0,13;4;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1198;"2014-12-01"
"105";18;2015;0,02;0,26;0,14;0,06;0,07;0,06;0,1;1;1;1;11,07;0,28;0,12;4;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1206;"2015-12-01"
"106";18;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AFL";"Financials";4;"AFL_quarterly_financial_data.xls";"aflac";"aflac incorporated";"aflac inc";1216;"2016-12-01"
"107";19;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AGN";"Health Care";5;"AGN_quarterly_financial_data.xls";"allergan";"allergan inc";"allergan inc";1228;"2011-12-01"
