"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEpsRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","PriceToEarningRatio","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","Index"
"43","AEE",2012,-0.0428,-0.134,1,-0.1426,NA,2.1835e+10,2.43e+08,-0.0479,5.781e+09,NA,-9.74e+08,6.465e+09,35.84,-4.01,0.0382581724367406,1e-04,0.0119,0.0381581724367406,0.0118,0.109858942677735,0.0368618369131433,0.00139633552359728,0.56,32.2,8.02992518703242,2014,247,0.29,0.52,0.03,0,0,0.29,1,1,0,"Utilities",11,15
"44","AEE",2013,0.0135,0.0439,0.84,0.0495,1.3433,2.1042e+10,2.45e+08,0.0391,5.838e+09,NA,2.89e+08,6.544e+09,NA,1.18,0.0196474272107625,0,0.0281,0.0196474272107625,0.0281,0.827504185925556,-0.00360544041374561,0.0232528676245081,0.7,34.64,29.3559322033898,2015,222,0.37,0.09,0.01,0,0,0.12,1,1,0,"Utilities",11,15
"45","AEE",2014,0.0268,0.0884,0.91,0.0968,0.667,2.2676e+10,2.44e+08,0.0597,6.053e+09,NA,5.86e+08,6.713e+09,18.31,2.4,0.0772245179786794,0,-6e-04,0.0772245179786794,-6e-04,0.792918762105364,0.0777002692359426,-0.000475751257263218,0.8,40.02,16.675,2016,205,0.36,0.07,0.01,0.01,0,0.12,1,1,0,"Utilities",11,15
"46","AEP",2012,0.0236,0.0842,1.02,0.0842,0.723,5.4367e+10,4.85e+08,0.0573,1.4945e+10,NA,1.259e+09,1.5237e+10,13.47,2.6,0.000703036820130889,1e-04,0.0119,0.000603036820130889,0.0118,-0.156762726457111,0.0024528369923248,-0.00174980017219391,0.71,40.97,15.7576923076923,2014,321,0.18,0.02,0.02,0.03,0,0.07,1,1,0,"Utilities",11,16
"47","AEP",2013,0.0267,0.0945,1.05,0.0964,0.807,5.6414e+10,4.87e+08,0.0593,1.4814e+10,NA,1.481e+09,1.6085e+10,19.2,3.04,-0.00682329655827654,0,0.0281,-0.00682329655827654,0.0281,1.14701378487642,-0.0390543839133039,0.0322310873550274,0.73,46.06,15.1513157894737,2015,263,0.31,0,0.01,0.03,0,0.12,1,1,0,"Utilities",11,16
"48","AEP",2014,0.0282,0.0993,0.96,0.096,0.546,5.9633e+10,4.89e+08,0.0605,1.6379e+10,NA,1.633e+09,1.682e+10,15.69,3.34,0.0536190504599654,0,-6e-04,0.0536190504599654,-6e-04,0.696743718587859,0.0540370966911181,-0.000418046231152716,0.83,52.91,15.8413173652695,2016,254,0.3,0,0.01,0.02,0,0.12,1,1,0,"Utilities",11,16
"49","AET",2012,0.0414,0.1615,0.62,0.0466,0.145,41494500000,3.45e+08,NA,3.5569e+10,NA,1.658e+09,10405800000,8.3,4.81,0.0697488831062658,1e-04,0.0119,0.0696488831062658,0.0118,0.942523627601693,0.0585271043005658,0.0112217788057,0.52,42.69,8.87525987525988,2014,145,0.41,0.65,0.74,0,0,0.74,0,1,0,"Health Care",5,17
"50","AET",2013,0.0419,0.1567,0.56,0.0413,0.157,49871800000,3.59e+08,NA,4.6387e+10,NA,1.913e+09,14025500000,13.18,5.33,-0.00494484066555355,0,0.0281,-0.00494484066555355,0.0281,0.164401391880083,-0.0095645197773839,0.00461967911183035,0.71,59.34,11.1332082551595,2015,258,0.32,0,0.08,0,0,0.14,0,1,1,"Health Care",5,17
"51","AET",2014,0.0395,0.1432,0.54,0.0358,0.146,53402100000,3.59e+08,NA,5.8003e+10,NA,2.041e+09,14482600000,13.67,5.68,0.0180611857087087,0,-6e-04,0.0180611857087087,-6e-04,1.24111169785924,0.0188058527274243,-0.000744667018715546,0.8,78.03,13.737676056338,2016,64,0.6,0.13,0.12,0.11,0,0.14,0,1,1,"Health Care",5,17
"52","AFL",2012,0.0231,0.1944,0.27,0.113,0.219,1.31094e+11,9.39e+08,NA,2.5364e+10,NA,2.866e+09,1.5978e+10,8.49,3.06,0.00245014912874572,1e-04,0.0119,0.00235014912874572,0.0118,1.16820499849348,-0.0114346698534774,0.0138848189822231,0.28,23.18,7.57516339869281,2014,92,0.49,0.85,0.63,0,0,0.82,0,1,1,"Financials",4,18
