"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"15599","KLAC","Efficiency Ratios","Efficiency",85,2016-06-01,0.61,NA,NA,NA,NA,NA,NA,NA
"15600","KLAC","Efficiency Ratios","Efficiency",85,2017-06-01,0.66,NA,NA,NA,NA,NA,NA,NA
"15601","KMB","Efficiency Ratios","Efficiency",78,2008-12-01,NA,NA,NA,47.49,NA,NA,NA,NA
"15602","KMB","Efficiency Ratios","Efficiency",78,2009-12-01,NA,NA,NA,48.29,NA,NA,NA,NA
"15603","KMB","Efficiency Ratios","Efficiency",78,2010-12-01,NA,NA,NA,46.56,NA,NA,NA,NA
"15604","KMB","Efficiency Ratios","Efficiency",78,2011-12-01,NA,NA,NA,44.42,NA,NA,NA,NA
"15605","KMB","Efficiency Ratios","Efficiency",78,2012-12-01,NA,NA,NA,42.87,NA,NA,NA,NA
"15606","KMB","Efficiency Ratios","Efficiency",78,2013-12-01,NA,NA,NA,40.47,NA,NA,NA,NA
"15607","KMB","Efficiency Ratios","Efficiency",78,2014-12-01,NA,NA,NA,40.93,NA,NA,NA,NA
"15608","KMB","Efficiency Ratios","Efficiency",78,2015-12-01,NA,NA,NA,40.21,NA,NA,NA,NA
"15609","KMB","Efficiency Ratios","Efficiency",78,2016-12-01,NA,NA,NA,41.05,NA,NA,NA,NA
"15610","KMB","Efficiency Ratios","Efficiency",78,2017-12-01,NA,NA,NA,42.78,NA,NA,NA,NA
"15611","KMB","Efficiency Ratios","Efficiency",79,2008-12-01,NA,NA,66.46,NA,NA,NA,NA,NA
"15612","KMB","Efficiency Ratios","Efficiency",79,2009-12-01,NA,NA,65.06,NA,NA,NA,NA,NA
"15613","KMB","Efficiency Ratios","Efficiency",79,2010-12-01,NA,NA,60.93,NA,NA,NA,NA,NA
"15614","KMB","Efficiency Ratios","Efficiency",79,2011-12-01,NA,NA,58.73,NA,NA,NA,NA,NA
"15615","KMB","Efficiency Ratios","Efficiency",79,2012-12-01,NA,NA,59.97,NA,NA,NA,NA,NA
"15616","KMB","Efficiency Ratios","Efficiency",79,2013-12-01,NA,NA,60.09,NA,NA,NA,NA,NA
"15617","KMB","Efficiency Ratios","Efficiency",79,2014-12-01,NA,NA,57.73,NA,NA,NA,NA,NA
"15618","KMB","Efficiency Ratios","Efficiency",79,2015-12-01,NA,NA,57.97,NA,NA,NA,NA,NA
"15619","KMB","Efficiency Ratios","Efficiency",79,2016-12-01,NA,NA,56.69,NA,NA,NA,NA,NA
"15620","KMB","Efficiency Ratios","Efficiency",79,2017-12-01,NA,NA,54.08,NA,NA,NA,NA,NA
"15621","KMB","Efficiency Ratios","Efficiency",80,2008-12-01,NA,NA,NA,NA,NA,NA,38.65,NA
"15622","KMB","Efficiency Ratios","Efficiency",80,2009-12-01,NA,NA,NA,NA,NA,NA,48.04,NA
"15623","KMB","Efficiency Ratios","Efficiency",80,2010-12-01,NA,NA,NA,NA,NA,NA,57.06,NA
"15624","KMB","Efficiency Ratios","Efficiency",80,2011-12-01,NA,NA,NA,NA,NA,NA,57.06,NA
"15625","KMB","Efficiency Ratios","Efficiency",80,2012-12-01,NA,NA,NA,NA,NA,NA,61.59,NA
"15626","KMB","Efficiency Ratios","Efficiency",80,2013-12-01,NA,NA,NA,NA,NA,NA,66.13,NA
"15627","KMB","Efficiency Ratios","Efficiency",80,2014-12-01,NA,NA,NA,NA,NA,NA,72.97,NA
"15628","KMB","Efficiency Ratios","Efficiency",80,2015-12-01,NA,NA,NA,NA,NA,NA,79.73,NA
"15629","KMB","Efficiency Ratios","Efficiency",80,2016-12-01,NA,NA,NA,NA,NA,NA,82.49,NA
"15630","KMB","Efficiency Ratios","Efficiency",80,2017-12-01,NA,NA,NA,NA,NA,NA,84.86,NA
"15631","KMB","Efficiency Ratios","Efficiency",81,2008-12-01,NA,75.3,NA,NA,NA,NA,NA,NA
"15632","KMB","Efficiency Ratios","Efficiency",81,2009-12-01,NA,65.31,NA,NA,NA,NA,NA,NA
"15633","KMB","Efficiency Ratios","Efficiency",81,2010-12-01,NA,50.44,NA,NA,NA,NA,NA,NA
"15634","KMB","Efficiency Ratios","Efficiency",81,2011-12-01,NA,46.1,NA,NA,NA,NA,NA,NA
