"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"86";128;2014;0,041486517895911;0,03;0,07;0,68;0,0421313197883124;0,02;0,06;0;0;1;1;1;10,7;0,46;0,08;3;1,07466982066904
"88";129;2013;0,0825974473400954;0,07;0,13;0,56;0,0536913068741056;0,45;0;0;0,3;0;0;1;10,62;0,17;0,18;7;1,02868827281103
"89";129;2014;0,022343249814527;0;0;0,59;0,0227033559605856;0,11;0;0;0,1;0;0;1;10,65;0,34;0;7;0,600176910097713
"90";129;2015;-0,0739779990579696;0,05;0,13;1,9;-0,0383700938808606;0,08;0,15;0;0,13;0;0;1;10,25;1,03;0,2;7;1,64552558419857
"91";13;2013;0,0818761668402418;0,06;0,12;1,03;0,0506996133497674;0;0;0;0;0;0;0;10,12;0,35;0,11;7;1,10948588934073
"92";13;2014;0,000629349338349831;0,03;0,05;0,93;0,002351492901365;0,08;0;0;0;0;0;0;10,31;0,33;0,05;7;2,87023927169194
"93";13;2015;-0,0364955112505858;-0,05;-0,12;0,76;-0,0217542016776856;0,05;0;0;0;0;0;0;10,35;0,86;0,09;7;0,683931316723512
"94";130;2013;-0,0247551884224874;0,05;0,14;1,85;-0,0416836351870162;0,8;0,84;0,6;0,73;1;1;1;10,29;0,82;0,07;8;0,602435827919177
"95";130;2014;-0,0383518701525338;0,06;0,16;1,84;-0,0377343526209171;0,14;0,14;0,06;0,13;1;1;1;10,29;0,66;0,08;8;1,02919588602786
"96";130;2015;-0,0379182840441537;0,05;0,15;2,06;-0,0134873615526689;0,14;0,14;0,08;0,13;1;1;1;10,27;0,62;0,07;8;1,13045725767211
"97";131;2013;0,0258038058936998;0,08;0,16;2,11;-0,0212955277413016;0;0;0;0;0;0;0;9,66;0,5;0,15;6;1,676132869573
"98";131;2014;0,0164569567830084;0,08;0,16;2,37;0,0166144232682974;0;0;0;0;0;0;0;9,67;0,52;0,15;6;0,262444142148254
"99";131;2015;-0,00116653455108361;0,09;0,19;3,2;0,0204547836319336;0,03;0;0;0;0;0;0;9,65;0,5;0,16;6;1,00098240474734
"100";132;2013;0,00966599192923792;0,02;0,09;0,61;-0,0141411916200108;0;0;0;0;0;0;0;10,67;0,99;0,07;11;0,847230731289989
"101";132;2014;0,0359611875361681;0,03;0,15;0,67;0,0367146177557875;0;0;0;0;0;0;0;10,7;0,93;0,12;11;1,25571703269907
"102";132;2015;0,00544464438464234;0,02;0,09;0,65;-0,00338793148487205;0,12;0;0;0;0;0;0;10,7;0,96;0,09;11;-0,402422851129696
"103";134;2013;0,0512496227142169;0,1;0,34;1,28;0,0075259281770509;0,19;0;0;0;1;1;0;10,07;1,12;0,12;8;1,55600336431196
"104";134;2014;-0,0836997778310219;0,06;0,2;1,08;-0,0827010275051466;0,03;0;0;0,04;1;1;0;10,21;2,07;0,08;8;1,66458387645883
"105";134;2015;-0,0668677347432764;0,05;0,23;1,01;-0,037127630589326;0,03;0;0;0,03;1;1;0;10,19;1,73;0,09;8;1,37512000709449
"106";135;2013;0,0465198667433216;0,08;0,19;2,09;0,00641911410761023;0;0;0;0;0;0;0;10,38;0,36;0,08;6;1,42707304753421
"107";135;2014;-0,0321992699348233;0,09;0,22;1,86;-0,0317836705399396;0,04;0;0;0;0;1;0;10,38;0,35;0,09;6;0,692665658139463
"108";135;2015;-0,0443698970638974;0,11;0,31;1,55;-0,0202127695461696;0,05;0,07;0;0;0;1;0;10,33;0,54;0,12;6;1,11783997777548
"109";136;2013;0,0170655600420908;0,07;0,15;1,65;0,010077861472578;0;0;0;0;0;0;0;10,49;0,38;0,15;3;0,248672546957751
"110";136;2014;0,0598647052904301;0,09;0,17;1,56;0,060729297536689;0,04;0;0;0;0;0;0;10,54;0,33;0,16;3;1,44098707709815
"111";136;2015;-0,164289959442979;-0,15;-0,3;1,67;-0,143051219412245;0,05;0;0;0;0;0;0;10,43;0,51;-0,52;3;0,983352075148993
"112";137;2013;0,0515314481875058;0,07;0,18;1,98;0,0213466673039398;0;0;0;0;0;0;0;10,6;1,07;0,05;3;1,07419149051836
"113";137;2014;-0,0332185496362904;0,06;0,17;1,94;-0,0329974794279976;0;0;0;0;0;0;0;10,67;1,06;0,06;3;0,368450347154537
"114";137;2015;0,00745550578918003;0,05;0,13;1,54;0,0236331806781667;0;0;0;0;0;0;0;10,69;1,03;0,09;3;0,750123266773582
"115";138;2013;0,0991497644558343;0,01;0,04;1,55;0,079422906352048;0;0;0;0;0;0;0;9,87;1,7;0,04;7;0,702023420063567
"116";138;2014;-0,00193871148853052;-0,03;-0,1;1,97;-0,00168541809205506;0;0;0;0;0;0;0;9,89;2,06;-0,11;7;0,42215566079244
"117";138;2015;0,0253301680806925;0,02;0,09;2,07;0,0464280609835414;0,1;0;0;0;0;0;0;10,02;2,03;0,07;7;0,976861424094421
"118";139;2013;0,0189979946396862;0,08;0,18;1,08;0,0165486989612959;0;0;0;0;0;0;0;10,36;1,03;0,76;4;0,0871635472736758
"119";139;2014;0,0207469821731554;0,03;0,06;1,62;0,0210747188515041;0;0;0;0;0;0;0;10,36;1,05;0,24;4;0,546227797247875
"120";139;2015;0,0288601548213873;0,04;0,08;1,78;0,03034659732274;0,02;0;0;0;0;0;0;10,36;1,05;0,31;4;0,0731079493710917
"121";14;2013;0,10619994224625;0,01;0,05;1,88;0,0629507642441825;0,94;0,3;0,62;0,63;0;0;1;9,64;0,86;0,05;7;1,53911665487784
"122";14;2014;-0,0317903058398908;0,03;0,09;2,65;-0,0312787783108992;0,14;0;0,03;0,1;1;1;1;9,68;0,93;0,1;7;0,852545881652775
"123";14;2015;-0,0408417048134506;0,03;0,09;2,4;0,0124840449048706;0,14;0;0,05;0,14;1;1;1;9,72;1,06;0,1;7;2,46201611605167
"124";140;2013;0,0534174897563131;0,05;0,1;1,59;0,0419440239075377;0;0,3;0;0,03;0;1;0;9,99;0,62;0,21;3;0,408308393194856
"125";140;2014;-0,183861908655915;0,05;0,09;1,1;-0,182967860148969;0,02;0,03;0;0;0;1;0;10,08;0,62;0,16;3;1,49008084491101
"126";140;2015;-0,0931628594487077;0,01;0,02;0,66;-0,0778288052423316;0,03;0;0;0;0;1;0;10,15;0,55;0,04;3;0,711246737621017
"127";141;2013;0,0420150476923041;0,03;0,08;1,33;0,0316752999293018;0;0;0;0;0;0;0;10,73;0,57;0,02;5;0,367962553843496
"128";141;2014;0,0181150943412155;0,04;0,1;1,47;0,0185244362896233;0;0;0;0;1;0;0;10,73;0,55;0,02;5;0,682236580679532
"129";141;2015;0,022327272806875;0,05;0,14;1,47;0,0407171886202538;0;0;0;0;1;0;0;10,73;0,8;0,02;5;0,852069853151097
"130";142;2013;0,064291493449656;0;-0,01;0,85;0,0652393323595825;0;0;0;0;0;0;0;10,64;1,43;0;3;-0,0337309220614405
"131";142;2014;-0,141695719131756;0,01;0,05;0,8;-0,140919647246476;0;0;0;0;0;0;0;10,8;1,52;0,01;3;1,2934531421332
"132";142;2015;-0,0810595773647348;0;0;0,76;-0,0578641263415254;0;0;0;0;0;0;0;10,81;1,38;0;3;1,07352308862716
"133";143;2013;0,0220524809396154;0,02;0,08;0,54;0,0167936702252056;0,21;0,03;0;0,55;0;1;1;10,64;1,26;0,06;11;0,18714628876903
"134";143;2014;0,0417843932953388;0,02;0,09;0,59;0,0425280582693654;0,04;0;0;0;1;1;1;10,67;1,25;0,08;11;1,23944162337776
"135";143;2015;0,0256329477482043;0;-0,02;0,54;0,0306301720096736;0,07;0;0;0;1;1;1;10,65;1,42;-0,02;11;0,234895127256651
"136";144;2013;0,0176798512151845;0,02;0,08;0,49;0,0149210022785132;0,41;0,05;0,72;0,12;1;1;1;10,9;0,8;0,07;11;0,0981796774616133
"137";144;2014;0,0248478064076911;0,02;0,07;0,56;0,0254249415496345;0,07;0,02;0,13;0,06;1;1;1;10,94;0,97;0,06;11;0,961891903238893
"138";144;2015;0,0167034657874988;0;0,09;0,46;0,0132329322165557;0,11;0,05;0,09;0,1;1;1;1;10,98;1,1;0,08;11;-0,155324127693227
"139";145;2013;0,0895987407926922;0,03;0,11;1,47;0,101632157271621;0,79;0;0;0,97;0;0;0;9,89;0,58;0,05;1;-0,428235461883583
