"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"103";35;2013;0,11;NA;0,24;2014;0,12;0;0;0;0;0,59;0;0;0;9,79;0,5;0,14;7
"104";35;2014;0,11;NA;0,24;2015;0,13;0;0;0;0;0,13;0;0;0;9,85;0,92;0,13;7
"105";35;2015;0,11;NA;0,25;2016;0,19;0;0,06;0;0;0,13;0;0;0;9,87;0,87;0,14;7
"106";36;2013;0,07;0,95;0,09;2014;0;0;0;0;0;0;0;0;0;10,15;0,7;0,22;7
"107";36;2014;0,06;1,03;0,12;2015;0,1;0;0;0;0;0,1;0;0;0;10,17;0,6;0,19;7
"108";36;2015;0,06;2,08;0,11;2016;0,12;0;0,02;0;0;0,1;0;0;0;10,18;0,51;0,19;7
"109";37;2013;0,02;1,41;0,04;2014;0;0;0;0;0;0;0;0;0;10,19;0,71;0,24;4
"110";37;2014;0,04;1,73;0,08;2015;0,41;0,09;0,05;0,02;0;0,14;0,1;0;0;10,21;0,72;0,41;4
"111";37;2015;0,04;1,87;0,08;2016;0,4;0,06;0,06;0,01;0,04;0,14;0,1;0;0;10,23;0,66;0,4;4
"112";38;2013;0,02;0,89;0,08;2014;0,45;0,62;0,62;0;0;0,55;0,1;0,05;0;10,18;1,1;0,13;11
"113";38;2014;0,03;0,98;0,09;2015;0,68;0,08;0,06;0,15;0,11;0,18;0,1;0;0;10,21;1,11;0,14;11
"114";38;2015;0,03;1,01;0,09;2016;0,31;0;0,03;0;0;0,18;0,1;0;0;10,24;1,16;0,15;11
"115";39;2013;0,04;0,66;0,28;2014;0,35;0,58;0,63;0,3;0,07;0,57;0;0;0;11,19;2,84;0,16;4
"116";39;2014;0,04;0,62;0,29;2015;0,55;0,07;0,1;0,06;0,08;0,1;0,1;0,05;0;11,2;2,8;0,17;4
