"","CompaniesIndex","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"636",212,3,0.1414,-0.0524453907088246,0.161669816591042,4,0.00428789613913038,0.0092788106592108,3.5,4.31367989998354,0.0838,7.149e+09,2.96e+08,1.0773e+10,9.03e+08,2.27023492015753,-0.00136214095209452,0.32,0,0.06,0,0,0.11,1,0,1,1,22.6902383237311,1.38629436111989
"637",213,1,0.0834,0.2203,0.1165,1.44,-0.108583893192031,-0.112363135441653,6.25,0.8,0.1028,6.795e+09,9.7e+07,5.671e+09,5.83e+08,1.31551688371822,0.015623099227875,0.18,0,0,0,0,0.89,0,0,0,5,22.6394528845495,0.364643113587909
"638",213,2,0.0717,0.1925,0.102,1.51,0.0306790126474564,0.0310699810300265,5.91,1.16,0.0988,6965900000,9.1e+07,5.808e+09,5.73e+08,0.134492606748089,0.00377924224962129,0.14,0,0,0,0,0.14,0,0,0,5,22.6642926533465,0.412109650826833
"639",213,3,0.0406,0.1125,0.0698,1.24,0.0171306742409649,0.0407249148114135,4.35,0.95,0.085,7301800000,8.6e+07,6.012e+09,5.11e+08,0.65161397095022,-0.000390968382570132,0.18,0,0.04,0,0,0.14,0,0,0,5,22.7113867300485,0.215111379616945
"640",214,1,0.0559,0.1355,0.0952,0.77,0.0323345294119484,0.0086752807741804,8.24,0.67,0.0616,1.3826e+10,9.7e+07,1.3107e+10,7.84e+08,0.749892891273699,0.00894873611702964,0,0,0,0,0,0,0,0,0,6,23.3498167144695,-0.261364764134408
"641",214,2,0.0477,0.1174,0.0827,0.82,0.0128384147563829,0.0132518697896881,7.56,0.61,0.0616,1.3988e+10,9.1e+07,1.142e+10,7.51e+08,0.84196614369281,0.023659248637768,0.07,0,0,0,0,0.02,0,0,1,6,23.3614656561475,-0.198450938723838
"642",214,3,-0.0185,-0.0498,-0.0113,0.92,-0.0239759464457224,0.00949093587541534,-2.97,0.75,0.0548,1.3836e+10,8.7e+07,1.0986e+10,6.64e+08,0.689091722175421,-0.000413455033305252,0.17,0,0.04,0,0,0.08,0,0,1,6,23.3505397280213,-0.083381608939051
"643",215,1,0.2061,0.4736,0.2616,2.74683700589956,0.056524617985112,0.00697263402273303,1.71,1.09,0.3143,1923154000,2.34e+08,1.267e+09,3.98e+08,-0.775283078302196,-0.0138211818110659,0.31,0.39,0.33,0,0,1,0,0,0,7,21.3772323835499,2.03465300336368
"644",215,2,0.2451,0.3977,0.4231,3.03621556244102,0.0415271287320799,0.0439660940977403,1.9,0,0.3174,2271498000,2.38e+08,1.282e+09,4.07e+08,0.88129066290283,0.0260243597541975,0.17,0,0.04,0,0,0.13,0,0,0,7,21.5437053626879,1.02432447923157
"645",215,3,0.2944,0.3581,0.3567,4.45142937016195,-0.0765392010535003,-0.0572676509060567,2.12,0,0.3313,1728548000,2.43e+08,1.388e+09,4.6e+08,-0.425513916951338,-0.030676930501365,0.18,0,0.05,0,0,0.13,0,0,0,7,21.2705475866829,2.66768676908863
"646",216,1,0.1345,0.2892,0.2187,1.62,0.015412101802052,-0.0219739480803789,4.32,0.37,0.1809,34398900000,1.117e+09,2.2603e+10,4.088e+09,-0.0501664139043287,-0.000491963684071079,0.3,0.27,0.18,0.3,0.35,0.19,0,1,1,5,24.2612904240703,0.482426149244293
"647",216,2,0.066,0.1449,0.1043,2.2,0.0126907266646645,0.0130833283283405,2.23,0.24,0.2027,35248700000,1.085e+09,2.3113e+10,4.685e+09,1.33046440862743,0.0373860498824309,0.49,0.12,0.03,0,0,0.14,1,1,1,5,24.285694486092,0.78845736036427
"648",216,3,0.0662,0.1609,0.1075,2.72,0.0267004906569747,0.0211228088192213,2.26,0.35,0.1219,37178200000,1.074e+09,1.9615e+10,2.391e+09,0.654336106126645,-0.000392601663675987,0.44,0.03,0.03,0.04,0.02,0.14,1,1,1,5,24.3389884049424,1.00063188030791
"649",217,1,0.0797,1.2027,0.3741,1.43,0.0481616860841711,0.0420100689032636,9.13,157.9,0.0582,3.8657e+10,3.28e+08,4.7182e+10,2.745e+09,1.0130601298468,0.0120541095321922,0.58,0.49,0.56,0.63,0.87,0,1,1,1,6,24.3779937081295,0.357674444271816
"650",217,2,0.0987,0.869,0.3729,1.78,0.00525877677028555,0.00541312893044195,11.21,1.25,0.0657,3.6188e+10,3.27e+08,4.5358e+10,2.981e+09,0.21891876088639,0.00615161718090757,0.61,0.08,0.09,0.06,0.13,0.05,1,1,1,6,24.3119934091099,0.576613364303994
"651",217,3,0.0836,1.1097,0.2716,1.62,-0.00921377152846163,0.00540237126812276,11.46,1.81,0.0793,3.7073e+10,3.22e+08,3.9946e+10,3.614e+09,0.257253600260657,-0.000154352160156394,0.64,0.08,0.09,0.08,0.11,0.08,1,1,1,6,24.3361547788087,0.482426149244293
"652",218,1,0.0055,0.0875,0.0381639291597545,0.08,0.00563375938235127,-0.030435833172489,4.52,0.36,0.1139,2.18869e+11,2.88e+08,1.1535e+10,1.313e+09,2.57812853430518,0.0305219167048011,0.16,0,0,0,0,0.82,0,0,0,4,26.1117392142698,-2.52572864430826
"653",218,2,0.0062,0.1038,0.0630074869896364,0.08,0.0181981751630461,0.0189240224550523,5.67,0.4,0.1039,2.36945e+11,2.75e+08,1.1969e+10,1.244e+09,1.28361539341069,0.0360695925548403,0.37,0.03,0.07,0,0,0.16,1,0,0,4,26.1910938836392,-2.52572864430826
"654",218,3,0.0046,0.0786,0.0423791296282483,0.08,-0.0899418945676023,-0.0486617763690351,4.51,0.33,0.1118,2.53377e+11,2.68e+08,1.3554e+10,1.515e+09,1.20974548667714,-0.000725847292006282,0.42,0.03,0.08,0.04,0.01,0.16,1,0,0,4,26.258144335126,-2.52572864430826
"655",219,1,-0.071,-1.4729,-0.0699,1.6,0.0854103422916076,0.0185771356459675,-2.32,4.25,-1.25,4.639e+09,1.82e+08,2.66e+08,-3.33e+08,3.42081372290328,0.0404656019302587,0.15,0,0,0,0,0.76,0,0,0,3,22.257764662716,0.470003629245736
"656",219,2,-0.0493,0.108877872998381,-0.0447,1.94,0.0646901064853798,0.0652370208043023,-2.44,36.6,-1.9008,9.673e+09,2.19e+08,2.67e+08,-5.08e+08,2.37840593044983,0.0668332066456401,0.01,0,0,0,0,0.01,0,0,0,3,22.9926043361468,0.662687973075237
"657",219,3,-0.0617,-0.0207162210809996,-0.0199073883158427,1.28,-0.244129823135336,-0.204918116398909,-4.3,1.6526396640764,-2.0449,1.257e+10,2.24e+08,2.68e+08,-5.48e+08,0.911523864870804,-0.000546914318922482,0.02,0,0.01,0,0,0.01,0,0,0,3,23.2545788595486,0.246860077931526
"658",220,1,0.0587,0.128,0.0938,1.78,0.0426736382656959,0.0194627821517534,1.69,0.43,0.0366,3.395e+10,1.273e+09,5.0208e+10,1.839e+09,1.81769692824172,0.0215488237532523,0.1,0.12,0.13,0,0,0.33,0,0,0,1,24.2481546909511,0.576613364303994
"659",220,2,0.0694,0.1766,0.1133,1.92,0.0749802818048213,0.0759870374391715,2.14,0.65,0.0385,3.2732e+10,1.152e+09,5.0521e+10,1.959e+09,0.82600911437518,0.0232108561139426,0.11,0,0.01,0,0,0.1,0,0,0,1,24.2116190296115,0.65232518603969
