"","CompaniesIndex","YearIndex","Ra","Roa","Roe","TobinsQ","AlphaJensen","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","FirmSize","LogTobinsQ"
"949",317,3,NA,-0.2912,-5.105,NA,NA,-5.1269,0.39,0.03,0.03,0.08,0,1,1,1,2.8e+08,1.5648,-0.5498,3,NA,NA,19.4503001611335,NA
"950",318,1,0.0025645916640683,0.1186,0.4368,2.96,-0.017324625597313,0.2304,0.54,0.78,0.75,0,0.68,1,1,0,6234737000,0.97,0.0656,8,0.0783044213566119,0.00102399217200802,22.5534022339538,1.08518926833597
"951",318,2,0.0716194093379337,0.1424,0.6306,4.59,0.0721927335417524,0.2886,0.5,0.12,0,0,0.11,1,1,0,6.383e+09,0.65,0.0734,8,0.707801326027804,0.0198892172613813,22.5769040432203,1.52388002407245
"952",318,3,-0.0615125726079785,0.1825,1.1257,4.39,-0.0249138172564232,0.3872,0.37,0.11,0,0,0,1,1,0,5.706e+09,1.13,0.0774,8,0.955540339697882,-0.000573324203818729,22.4647840897377,1.47932922708708
"953",319,1,-0.0771733783478171,0.0417,0.1101,2.9,-0.11598129368023,0.0779,0,0,0,0,0,0,0,0,9.055e+09,0.61,0.6829,1,1.88865458873002,0.0223861241470143,22.9265829282818,1.06471073699243
"954",319,2,-0.0364696566743743,0.0573,0.2432,2.99,-0.0359451419812319,0.1078,0.16,0,0,0,0,0,0,0,8.845e+09,1.13,0.0983,1,1.38106460257696,0.0388079153324125,22.9031181645582,1.0952733874026
"955",319,3,-0.00978004297277349,0.0621,0.8916,3.52,0.0115229938191934,0.1239,0.22,0.06,0,0,0,0,0,0,8.376e+09,3.44,0.118,1,0.87419115523735,-0.00052451469314241,22.8486363105146,1.25846098961001
"956",320,1,-0.00596556065686541,0.0595,0.1046,1.38,-0.0264032465878517,0.0836,0.42,0.38,0.51,0,0.44,1,0,1,9.189e+09,0.39,0.0824,2,0.427857025571922,0.00514871290174868,22.9412729534652,0.322083499169113
"957",320,2,-0.0156229692000223,0.0619,0.1102,1.26,-0.0146803492918298,0.0851,0.31,0.06,0,0,0,1,0,1,9.032e+09,0.38,0.0915,2,0.727319784020863,0.0204376859309862,22.9240396637938,0.231111720963387
"958",320,3,0.0175851495676723,0.0266,0.0569,1.12,0.0279342765715874,0.0388,0.32,0.07,0,0,0,1,0,1,9.072e+09,0.37,0.0999,2,1.57103318032084,-0.000942619908192506,22.9284585839318,0.113328685307003
"959",321,1,0.0224734405845182,0.1047,0.1814,1.72,-0.0146917400350279,0.1417,0.48,0.76,0.88,0.21,0.62,0,0,0,6.1547e+10,0.27,0.1303,3,1.36019419578758,0.0161502915102935,24.8430669475279,0.542324290825362
"960",321,2,-0.00163784074726298,0.0812,0.1407,1.63,-0.000979733685287902,0.1093,0.52,0.07,0.12,0.12,0.04,1,0,1,6.71e+10,0.26,0.1487,3,1.32260429251054,0.0371651806195461,24.929449880924,0.488580014818671
"961",321,3,-0.100834260688841,0.0307,0.0564,1.31,-0.0720244962088154,0.0433,0.48,0.06,0.12,0.08,0.06,1,0,1,6.6904e+10,0.28,0.1119,3,1.09684510329179,-0.000658107061975077,24.9265245930256,0.27002713721306
"962",322,1,0.0263180846259942,0.0069,0.0165,1.03,0.00712122349592872,0.0182,0.37,0.38,0.67,0.6,0.17,0,0,0,14387754000,1.09,0.1114,4,1.38127798661252,0.0163990802420277,23.3896432650523,0.0295588022415444
"963",322,2,0.0294429668165135,0.0325,0.0801,1.11,0.0299717404870603,0.0468,0.16,0.02,0,0,0,0,0,0,1.4959e+10,1.07,0.0795,4,0.683162317795923,0.0191968611300654,23.4285789623387,0.104360015324243
"964",322,3,-0.0378195150708849,0.0146,0.0391,1.06,-0.0216321875512907,0.0257,0.54,0.06,0.09,0.14,0.07,0,0,1,1.7097e+10,1.16,0.3889,4,0.881289450911348,-0.000528773670546809,23.5621688464674,0.0582689081239758
"965",323,1,NA,0.1001,0.1465,NA,NA,0.1266,0.38,0.45,0,0,0.59,0,0,1,10339127000,0.11,0.0826,7,NA,NA,23.0592012730619,NA
"966",323,2,NA,0.097,0.1493,NA,NA,0.1148,0.33,0.05,0,0,0,1,0,1,10488717000,0.28,0.169,7,NA,NA,23.0735659449155,NA
"967",323,3,NA,0.0398,0.0633,NA,NA,0.055,0.34,0.06,0,0,0,1,0,1,10289957000,0.18,0.152,7,NA,NA,23.0544342079693,NA
"968",324,1,0.0117448357951663,0.0257,0.0881,0.89,-0.0075798309577449,0.0526,0.15,0.09,0.11,0,0,1,0,0,6.315e+10,1.05,0.1421,11,-0.24816788199612,-0.00282838100755421,24.8687786857429,-0.116533816255952
"969",324,2,0.0348077333573845,0.029,0.1008,0.97,0.0350889348520841,0.0576,0.28,0.02,0.04,0,0,1,0,0,6.455e+10,1.12,0.0962,11,0.687710560601821,0.0193246667529112,24.8907059542391,-0.0304592074847086
"970",324,3,0.0492818732739993,0.0319,0.1175,0.89,0.0429662309304099,0.0622,0.28,0.02,0.03,0.01,0,1,0,0,7.023e+10,1.04,0.1063,11,0.468669157832657,-0.000281201494699594,24.9750414071173,-0.116533816255952
"971",325,1,0.0152976991397198,0.0399,0.2256,2.05,-0.012137669710738,0.0821,0.35,0.44,0,0,0.54,0,0,1,32586606000,4.06,0.2933,4,0.540385739119822,0.0064765517216139,24.2071671819977,0.717839793150317
"972",325,2,0.00721948276203583,0.0447,0.2589,2.59,0.00750728757526004,0.0861,0.43,0.07,0,0,0.03,1,1,1,3.3325e+10,4.06,0.2546,4,0.976347645923765,0.0274353688504578,24.2295737030112,0.951657875711446
"973",325,3,0.0430874267632935,0.0606,0.385,2.69,0.0475914827899529,0.1037,0.4,0.07,0,0,0,1,1,1,2.9532e+10,4.13,0.2885,4,0.479674688707014,-0.000287804813224208,24.1087402581433,0.989541193613748
"974",326,1,-0.0112135135574458,0.0838,0.1892,2.85,-0.0301811887796203,0.1143,0.06,0,0,0,0,0,0,0,3546738000,0.82,0.1401,6,0.125595109284193,0.00158202228955348,21.9892941447715,1.04731899428056
"975",326,2,0.0166157976547314,0.0788,0.1791,2.87,0.0167261520042447,0.1101,0.13,0,0,0,0,0,0,0,3.883e+09,0.73,0.1453,6,0.675006235664574,0.0189676752221745,22.0798738876959,1.05431202977153
"976",326,3,-0.000994555033887984,0.0448,0.1111,1.85,-0.0113212966980491,0.0647,0.13,0,0,0,0,0,0,0,4.402e+09,0.81,0.1277,6,0.18392391585551,-0.000110354349513306,22.2053248200507,0.615185639090233
